id,family_name,given_name,birthdate,gender,phone,registration_date,area_id,area_id/id,bank_ids,bank_ids/id,bank_ids/acc_number,bank_ids/bank_id/name,bank_ids/bank_id/id,reg_ids/id,reg_ids/value,reg_ids/id_type/name,reg_ids/id_type/id,z_cst_indv_disability_level,z_cst_indv_cyclone_aug_2022_injured,z_cst_indv_cyclone_aug_2022_lost_primary_source_income,z_cst_indv_cyclone_aug_2022_lost_livestock,z_cst_indv_receive_government_benefits,individual_membership_ids/id,individual_membership_ids/kind/id,individual_membership_ids/kind/name,individual_membership_ids/group/id
__export__.res_partner_60_f2314eb8,Wulandari,Ana,1943-01-19,Female,+62-31-737-1148,2022-08-21,,,547933953 - slcb,__export__.res_partner_bank_14_e79ed3cd,547933953,slcb,__export__.res_bank_5_097dd3b8,,,,,58,TRUE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_9_6643902f,g2p_registry_membership.group_membership_kind_head,,__export__.res_partner_59_eee69bf0
__export__.res_partner_241_4e519255,Waluyo,Ani,2014-07-11,Female,,2022-09-02,,,,,,,,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_151_cf48c692,,,__export__.res_partner_235_ffc544a2
__export__.res_partner_278_fca8efdf,Haryanto,Anita,1955-06-11,Female,+62 (0993) 982-6244,2022-09-11,,,516919686 - slcb,__export__.res_partner_bank_197_12447eea,516919686,slcb,__export__.res_bank_5_097dd3b8,,,,,0,TRUE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_180_338b788d,g2p_registry_membership.group_membership_kind_head,,__export__.res_partner_277_34edc29e
__export__.res_partner_731_1cac0636,Hastuti,Argono,2019-01-02,Male,,2022-09-08,,,,,,,,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_537_a3141a90,,,__export__.res_partner_729_acefda2a
__export__.res_partner_425_2f95d864,Hutapea,Argono,2006-01-03,Male,,2022-09-01,,,,,,,,,,,,0,FALSE,TRUE,FALSE,FALSE,__export__.g2p_group_membership_295_60a73c50,,,__export__.res_partner_422_c70ebb2d
__export__.res_partner_151_8d449dda,Pradipta,Asirwada,2015-08-04,Male,,2022-09-07,,,,,,,,,,,,0,FALSE,FALSE,TRUE,FALSE,__export__.g2p_group_membership_82_509e16f2,,,__export__.res_partner_147_123a5eb5
__export__.res_partner_342_09146eb4,Zulaika,Asirwanda,1957-10-11,Male,+62 (644) 752-4446,2022-08-25,,,677002671 - slcb,__export__.res_partner_bank_250_14c53bb4,677002671,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,TRUE,FALSE,__export__.g2p_group_membership_230_166b6524,g2p_registry_membership.group_membership_kind_head,,__export__.res_partner_341_49e435f5
__export__.res_partner_83_116af55e,Halim,Asmadi,1971-10-10,Male,+62 (0105) 888 6607,2022-09-14,,,698032776 - slcb,__export__.res_partner_bank_33_4cb1dcf4,698032776,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_28_745a997b,,,__export__.res_partner_79_6a99d0b7
__export__.res_partner_332_cf02b3b7,Latupono,Asmadi,2022-07-30,Male,,2022-08-24,,,,,,,,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_222_1eb46f42,,,__export__.res_partner_328_01a88c8d
__export__.res_partner_479_e94b1222,Suartini,Aswani,1956-02-07,Male,+62 (0590) 725-1540,2022-09-12,,,751757450 - slcb,__export__.res_partner_bank_366_d5c0f0b2,751757450,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,TRUE,FALSE,__export__.g2p_group_membership_338_ba8ae580,,,__export__.res_partner_475_1328357d
__export__.res_partner_590_5db4718a,Napitupulu,Atma,2022-01-14,Male,+62-0801-093-6349,2022-09-01,,,567674935 - slcb,__export__.res_partner_bank_455_3310a1e5,567674935,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_425_70766ef5,,,__export__.res_partner_588_aa8de8e4
__export__.res_partner_274_cac8f7b2,Safitri,Aurora,1966-04-18,Female,+62 (047) 887-9202,2022-09-14,,,113882514 - slcb,__export__.res_partner_bank_193_87611de1,113882514,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_177_ffc016c0,,,__export__.res_partner_272_8b15b4c4
__export__.res_partner_415_b6cb9317,Prasetya,Ayu,2022-07-02,Female,(0031) 449-0781,2022-09-10,,,489499538 - slcb,__export__.res_partner_bank_310_9eaeb722,489499538,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,TRUE,FALSE,__export__.g2p_group_membership_288_84935c14,,,__export__.res_partner_412_6a685a69
__export__.res_partner_461_b14aec14,Mansur,Azalea,1966-05-17,Female,+62 (77) 430-2674,2022-08-29,,,212981418 - slcb,__export__.res_partner_bank_351_086d2c73,212981418,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,TRUE,__export__.g2p_group_membership_324_264b4e62,,,__export__.res_partner_459_c43487a6
__export__.res_partner_481_c8f2103d,Suartini,Azalea,1968-10-14,Female,+62 (693) 249-6862,2022-09-12,,,662792283 - slcb,__export__.res_partner_bank_368_f56a44ec,662792283,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_340_7051d9ae,g2p_registry_membership.group_membership_kind_principal,,__export__.res_partner_475_1328357d
__export__.res_partner_552_13c83972,Siregar,Bahuraksa,1923-10-13,Male,+62-833-684-7375,2022-09-06,,,913886737 - slcb,__export__.res_partner_bank_427_d084e666,913886737,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_396_7c74029b,g2p_registry_membership.group_membership_kind_head,,__export__.res_partner_551_6340ef82
__export__.res_partner_135_5e623ebc,Haryanto,Bahuwarna,1946-10-27,Male,+62-83-941-8873,2022-08-23,,,757338441 - slcb,__export__.res_partner_bank_82_da1b9e85,757338441,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,TRUE,__export__.g2p_group_membership_69_1a73a2a2,,,__export__.res_partner_133_a90b5793
__export__.res_partner_728_d50f7338,Permadi,Bakijan,2003-03-03,Male,+62 (825) 449 5834,2022-08-26,,,581578961 - slcb,__export__.res_partner_bank_572_26a3bd84,581578961,slcb,__export__.res_bank_5_097dd3b8,,,,,0,TRUE,TRUE,FALSE,FALSE,__export__.g2p_group_membership_535_9b8f34d5,g2p_registry_membership.group_membership_kind_head,,__export__.res_partner_727_ed034d2a
__export__.res_partner_113_36c50f7f,Astuti,Bakiono,1967-03-14,Male,+62 (0748) 876-4189,2022-09-06,,,472999944 - slcb,__export__.res_partner_bank_62_099fa8b5,472999944,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_51_67ac687e,g2p_registry_membership.group_membership_kind_head,,__export__.res_partner_112_614c40ec
__export__.res_partner_730_aa09d79f,Hastuti,Baktiadi,1933-08-16,Male,+62 (78) 944 6435,2022-09-08,,,114334631 - slcb,__export__.res_partner_bank_574_c3229bda,114334631,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_536_38cf961e,g2p_registry_membership.group_membership_kind_head,,__export__.res_partner_729_acefda2a
__export__.res_partner_319_4917bf2b,Prabowo,Baktiadi,2022-01-23,Male,+62 (011) 905-9189,2022-08-24,,,850508506 - slcb,__export__.res_partner_bank_229_460e1eaa,850508506,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_212_ff7430b1,,,__export__.res_partner_313_a57cd737
__export__.res_partner_464_edeab401,Mansur,Bala,1932-08-13,Male,+62 (17) 720 8948,2022-08-29,,,911842253 - slcb,__export__.res_partner_bank_353_a4188ea6,911842253,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_327_8c7ea544,,,__export__.res_partner_459_c43487a6
__export__.res_partner_751_59131b23,Januar,Balamantri,1969-11-15,Male,(0999) 601-1260,2022-08-26,,,854102578 - slcb,__export__.res_partner_bank_592_1f29acbc,854102578,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_552_c8903ff4,g2p_registry_membership.group_membership_kind_head,,__export__.res_partner_750_4db345fb
__export__.res_partner_424_132555d2,Novitasari,Balamantri,1926-08-04,Male,+62-015-542-0617,2022-09-01,,,872296828 - slcb,__export__.res_partner_bank_318_df57fe99,872296828,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_294_402f22d2,,,__export__.res_partner_422_c70ebb2d
__export__.res_partner_331_2d1018bb,Sudiati,Balapati,1966-07-02,Male,+62 (30) 791 6681,2022-08-24,,,120655998 - slcb,__export__.res_partner_bank_240_0741dbaf,120655998,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,TRUE,FALSE,FALSE,__export__.g2p_group_membership_221_733626f3,,,__export__.res_partner_328_01a88c8d
__export__.res_partner_266_6c94b400,Mahendra,Bancar,2019-04-28,Male,,2022-09-12,,,,,,,,,,,,0,TRUE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_171_55b4afb4,,,__export__.res_partner_264_6825d727
__export__.res_partner_597_9f621f67,Iswahyudi,Belinda,2022-06-13,Female,(040) 828-0371,2022-08-19,,,425928855 - slcb,__export__.res_partner_bank_462_ec622afa,425928855,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_430_5222626e,,,__export__.res_partner_595_4292c86b
__export__.res_partner_188_29c6a302,Sihotang,Betania,1946-10-29,Female,(085) 715 9685,2022-08-26,,,742343752 - slcb,__export__.res_partner_bank_126_3016feaa,742343752,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,TRUE,FALSE,__export__.g2p_group_membership_111_0068f882,,,__export__.res_partner_185_6d3b10ff
__export__.res_partner_198_0e5c3e9a,Utama,Betania,2018-11-01,Female,,2022-09-03,,,,,,,,,,,,0,FALSE,TRUE,FALSE,FALSE,__export__.g2p_group_membership_118_80f2392f,,,__export__.res_partner_195_a661a04a
__export__.res_partner_572_af745224,Andriani,Cagak,1925-01-24,Male,+62-495-900-0618,2022-08-24,,,148934467 - slcb,__export__.res_partner_bank_442_a91ce67f,148934467,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_411_ae563ebb,g2p_registry_membership.group_membership_kind_head,,__export__.res_partner_571_e684d4bb
__export__.res_partner_352_64a2be6a,Budiyanto,Cagak,1961-09-28,Male,(0788) 539-0162,2022-08-28,,,204826381 - slcb,__export__.res_partner_bank_258_f22b8559,204826381,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_238_253bcd8f,g2p_registry_membership.group_membership_kind_head,,__export__.res_partner_351_2d44c8b8
__export__.res_partner_67_7e8ad3f3,Sitorus,Cahya,2000-07-22,Male,+62-0960-551-6941,2022-08-20,,,514102845 - slcb,__export__.res_partner_bank_21_7812ce92,514102845,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_15_4c9ea2e7,g2p_registry_membership.group_membership_kind_principal,,__export__.res_partner_64_8c3503e6
__export__.res_partner_544_42aee7a6,Januar,Cahyanto,2021-11-16,Male,(025) 971-2784,2022-09-04,,,326223939 - slcb,__export__.res_partner_bank_421_75d67de8,326223939,slcb,__export__.res_bank_5_097dd3b8,,,,,0,TRUE,FALSE,TRUE,FALSE,__export__.g2p_group_membership_390_c24acfe9,g2p_registry_membership.group_membership_kind_principal,,__export__.res_partner_539_78bb5e3f
__export__.res_partner_689_ec67b230,Wulandari,Cahyo,2022-09-12,Male,+62 (0039) 443 9549,2022-09-07,,,110410287 - slcb,__export__.res_partner_bank_536_9265a9fc,110410287,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_506_27fcf24c,g2p_registry_membership.group_membership_kind_principal,,__export__.res_partner_686_2d7c3d46
__export__.res_partner_718_1c6e39bf,Kusmawati,Caket,1955-04-11,Male,+62-602-529-8085,2022-09-11,,,659684609 - slcb,__export__.res_partner_bank_562_23c4cb4a,659684609,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_527_d31b1541,,,__export__.res_partner_715_1d988059
__export__.res_partner_316_052039a5,Prabowo,Caket,2021-10-19,Male,,2022-08-24,,,,,,,,,,,,0,FALSE,FALSE,FALSE,TRUE,__export__.g2p_group_membership_209_a1ea13b2,,,__export__.res_partner_313_a57cd737
__export__.res_partner_267_73984826,Yulianti,Cakrabuana,2015-10-16,Male,,2022-09-12,,,,,,,,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_172_60c9a4d3,g2p_registry_membership.group_membership_kind_principal,,__export__.res_partner_264_6825d727
__export__.res_partner_287_a131644c,Suryatmi,Cakrawala,2021-03-18,Male,,2022-08-19,,,,,,,,,,,,0,FALSE,FALSE,FALSE,TRUE,__export__.g2p_group_membership_187_8eabdbfc,,,__export__.res_partner_283_57fbb3d7
__export__.res_partner_197_94b44f9c,Utama,Capa,2019-04-18,Male,,2022-09-03,,,,,,,,,,,,0,FALSE,TRUE,FALSE,FALSE,__export__.g2p_group_membership_117_a39aeafa,,,__export__.res_partner_195_a661a04a
__export__.res_partner_574_7c39cba0,Napitupulu,Catur,2022-06-29,Male,+62 (888) 249-2182,2022-08-24,,,754034282 - slcb,__export__.res_partner_bank_444_8f7ed086,754034282,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_413_4cd530d5,,,__export__.res_partner_571_e684d4bb
__export__.res_partner_380_fb701e0d,Pranowo,Cawisadi,1969-07-26,Male,+62-44-128-3699,2022-09-01,,,427985743 - slcb,__export__.res_partner_bank_283_d320b6d2,427985743,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,TRUE,FALSE,FALSE,__export__.g2p_group_membership_260_693aaace,g2p_registry_membership.group_membership_kind_principal,,__export__.res_partner_378_98f06f16
__export__.res_partner_647_ff349ba7,Sihotang,Cawisono,1968-06-04,Male,(0559) 823 7244,2022-09-14,,,71177009 - slcb,__export__.res_partner_bank_503_4e892945,71177009,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,TRUE,__export__.g2p_group_membership_471_2f2f6f43,,,__export__.res_partner_645_7b1b22a8
__export__.res_partner_164_84929818,Laksita,Cemani,2010-05-11,Male,,2022-08-30,,,,,,,,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_92_0eec7df9,,,__export__.res_partner_161_b580929a
__export__.res_partner_497_577f9c64,Nashiruddin,Cemani,1929-09-20,Male,(0296) 572 3459,2022-09-04,,,617624681 - slcb,__export__.res_partner_bank_382_f1ba03d9,617624681,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_353_988cba3a,,,__export__.res_partner_494_e9bebe57
__export__.res_partner_747_f17b389a,Prayoga,Cemani,1939-03-30,Male,+62 (092) 152-6727,2022-08-30,,,734766321 - slcb,__export__.res_partner_bank_588_0e852623,734766321,slcb,__export__.res_bank_5_097dd3b8,,,,,98,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_549_20c4fcc2,,,__export__.res_partner_745_f1e23be6
__export__.res_partner_168_b88a1d96,Rahmawati,Cengkal,1966-02-15,Male,0824192577,2022-08-30,,,751063650 - slcb,__export__.res_partner_bank_109_38912404,751063650,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,TRUE,FALSE,__export__.g2p_group_membership_95_5bfb455d,g2p_registry_membership.group_membership_kind_principal,,__export__.res_partner_166_fb7f0e51
__export__.res_partner_236_e0492969,Waluyo,Cengkal,1973-08-28,Male,+62 (99) 594-2942,2022-09-02,,,840237878 - slcb,__export__.res_partner_bank_163_45ed0881,840237878,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,TRUE,FALSE,FALSE,__export__.g2p_group_membership_146_2635eb92,g2p_registry_membership.group_membership_kind_head,,__export__.res_partner_235_ffc544a2
__export__.res_partner_375_a272639e,Napitupulu,Cengkir,1993-10-18,Male,+62-474-958-8379,2022-08-27,,,423527810 - slcb,__export__.res_partner_bank_278_18dafbef,423527810,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,TRUE,FALSE,FALSE,__export__.g2p_group_membership_256_ee8f1b58,g2p_registry_membership.group_membership_kind_head,,__export__.res_partner_374_ede9338f
__export__.res_partner_190_9636d643,Tamba,Cengkir,1944-01-04,Male,+62 (060) 740-2049,2022-08-31,,,150460658 - slcb,__export__.res_partner_bank_128_85ac2ee7,150460658,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_112_f342736d,g2p_registry_membership.group_membership_kind_head,,__export__.res_partner_189_efa95a23
__export__.res_partner_695_757ee607,Salahudin,Cici,2022-04-21,Female,(0368) 432-6860,2022-08-23,,,360151919 - slcb,__export__.res_partner_bank_542_db1740d0,360151919,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_510_9cce4ba4,,,__export__.res_partner_692_320f2f1b
__export__.res_partner_310_a9588d22,Sihombing,Cici,2002-10-09,Female,+62 (398) 853-7049,2022-08-31,,,967757914 - slcb,__export__.res_partner_bank_222_a8d3440c,967757914,slcb,__export__.res_bank_5_097dd3b8,,,,,0,TRUE,TRUE,FALSE,FALSE,__export__.g2p_group_membership_204_2cc85879,g2p_registry_membership.group_membership_kind_principal,,__export__.res_partner_306_4b37657b
__export__.res_partner_706_46f35b77,Situmorang,Cici,1977-02-10,Female,(0563) 022 3029,2022-09-01,,,663579111 - slcb,__export__.res_partner_bank_552_b25b9a15,663579111,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,TRUE,FALSE,__export__.g2p_group_membership_518_c8e8a8be,,,__export__.res_partner_703_ed4b0975
__export__.res_partner_103_23407f52,Tarihoran,Cici,1977-02-24,Female,+62-031-425-1065,2022-09-01,,,918885824 - slcb,__export__.res_partner_bank_53_dd818196,918885824,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_43_93614161,,,__export__.res_partner_101_760a9b64
__export__.res_partner_148_bb24acab,Pradipta,Cindy,1991-09-30,Female,(090) 837-8603,2022-09-07,,,202844667 - slcb,__export__.res_partner_bank_93_53650469,202844667,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,TRUE,FALSE,__export__.g2p_group_membership_79_ebd350ec,g2p_registry_membership.group_membership_kind_head,,__export__.res_partner_147_123a5eb5
__export__.res_partner_476_0741af85,Suartini,Cindy,1937-05-24,Female,(0579) 959 3410,2022-09-12,,,915029791 - slcb,__export__.res_partner_bank_364_647f3a58,915029791,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_335_44edccef,g2p_registry_membership.group_membership_kind_head,,__export__.res_partner_475_1328357d
__export__.res_partner_516_e1f86698,Budiyanto,Cinta,1973-12-20,Female,+62-19-281-6590,2022-08-27,,,498156494 - slcb,__export__.res_partner_bank_398_60527ef4,498156494,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_368_b57e7282,g2p_registry_membership.group_membership_kind_head,,__export__.res_partner_515_99cdaa26
__export__.res_partner_615_0da6a833,Rahayu,Cinta,1923-08-21,Female,+62 (0510) 633-2835,2022-09-02,,,810582977 - slcb,__export__.res_partner_bank_478_3df7b02e,810582977,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_444_59ac0367,g2p_registry_membership.group_membership_kind_head,,__export__.res_partner_614_7af56eea
__export__.res_partner_466_6fddf951,Mansur,Cinthia,2020-09-07,Other,,2022-08-29,,,,,,,,,,,,0,FALSE,TRUE,FALSE,FALSE,__export__.g2p_group_membership_329_95ea3f92,,,__export__.res_partner_459_c43487a6
